account_number,customer_id,account_type,balance,status,opened_date
ACC0001001,CUST01053,Savings,3918.12,Active,2019-12-11
ACC0001002,CUST01056,Savings,1951.14,Inactive,2018-08-04
ACC0001003,CUST01007,Recurring Deposit,2319.45,Active,2019-02-10
ACC0001004,CUST01058,Current,2910.05,Inactive,2022-03-19
ACC0001005,CUST01030,Savings,4042.13,Active,2022-08-04
ACC0001006,CUST01082,Recurring Deposit,1307.15,Inactive,2021-11-12
ACC0001007,CUST01004,Current,43796.0,Active,2018-11-24
ACC0001008,CUST01013,Fixed Deposit,110295.44,Active,2022-12-02
ACC0001009,CUST01011,Savings,14584.49,Active,2022-01-14
ACC0001010,CUST01005,Current,22619.36,Active,2022-02-26
ACC0001011,CUST01097,Current,4213.62,Active,2018-09-30
ACC0001012,CUST01076,Fixed Deposit,98369.68,Active,2021-07-29
ACC0001013,CUST01070,Recurring Deposit,2570.99,Active,2021-09-08
ACC0001014,CUST01057,Recurring Deposit,1162.14,Active,2023-07-18
ACC0001015,CUST01065,Fixed Deposit,20673.3,Active,2021-12-17
ACC0001016,CUST01037,Recurring Deposit,1527.92,Active,2018-08-31
ACC0001017,CUST01035,Recurring Deposit,2724.17,Active,2022-03-25
ACC0001018,CUST01042,Savings,6993.95,Active,2020-08-06
ACC0001019,CUST01036,Recurring Deposit,507.3,Active,2020-09-25
ACC0001020,CUST01065,Fixed Deposit,17534.07,Active,2021-12-16
ACC0001021,CUST01075,Savings,2324.99,Active,2019-02-24
ACC0001022,CUST01057,Savings,4411.08,Inactive,2023-06-09
ACC0001023,CUST01032,Savings,6469.01,Active,2022-03-09
ACC0001024,CUST01052,Recurring Deposit,2134.84,Active,2023-09-23
ACC0001025,CUST01043,Savings,3790.13,Active,2019-01-06
ACC0001026,CUST01092,Current,9182.63,Active,2019-10-08
ACC0001027,CUST01018,Fixed Deposit,51990.06,Active,2023-05-15
ACC0001028,CUST01084,Recurring Deposit,1734.25,Active,2020-06-18
ACC0001029,CUST01006,Recurring Deposit,1301.13,Active,2018-10-03
ACC0001030,CUST01084,Fixed Deposit,48033.47,Active,2020-06-25
ACC0001031,CUST01092,Recurring Deposit,880.75,Active,2019-08-20
ACC0001032,CUST01038,Recurring Deposit,1458.78,Active,2023-07-28
ACC0001033,CUST01010,Current,72215.6,Active,2019-12-24
ACC0001034,CUST01060,Savings,1408.53,Active,2022-12-19
ACC0001035,CUST01051,Fixed Deposit,10424.15,Active,2022-12-17
ACC0001036,CUST01029,Savings,23327.72,Active,2019-05-18
ACC0001037,CUST01040,Current,6554.93,Active,2019-01-14
ACC0001038,CUST01089,Fixed Deposit,31690.4,Inactive,2020-10-25
ACC0001039,CUST01058,Savings,26176.75,Active,2022-03-30
ACC0001040,CUST01011,Current,6981.65,Active,2022-01-31
ACC0001041,CUST01090,Recurring Deposit,1120.03,Active,2019-01-26
ACC0001042,CUST01099,Current,27445.42,Active,2019-12-27
ACC0001043,CUST01025,Current,10294.46,Active,2022-03-21
ACC0001044,CUST01089,Savings,6846.73,Active,2020-10-29
ACC0001045,CUST01067,Current,8433.46,Active,2021-08-07
ACC0001046,CUST01080,Fixed Deposit,19429.49,Active,2023-08-19
ACC0001047,CUST01058,Current,18388.58,Active,2022-04-02
ACC0001048,CUST01070,Recurring Deposit,2198.65,Active,2021-10-30
ACC0001049,CUST01041,Current,3091.62,Active,2021-07-04
ACC0001050,CUST01043,Fixed Deposit,20350.1,Active,2018-11-03
ACC0001051,CUST01015,Fixed Deposit,9065.01,Active,2019-08-31
ACC0001052,CUST01062,Fixed Deposit,45131.18,Active,2019-10-18
ACC0001053,CUST01069,Recurring Deposit,1937.94,Active,2019-11-23
ACC0001054,CUST01085,Recurring Deposit,1402.26,Active,2020-01-23
ACC0001055,CUST01046,Fixed Deposit,22684.08,Active,2021-10-28
ACC0001056,CUST01018,Recurring Deposit,1841.17,Inactive,2023-05-19
ACC0001057,CUST01059,Fixed Deposit,22974.91,Active,2020-08-15
ACC0001058,CUST01051,Savings,14847.5,Active,2022-12-03
ACC0001059,CUST01093,Savings,1468.48,Inactive,2022-01-18
ACC0001060,CUST01090,Savings,1287.3,Active,2019-03-08
ACC0001061,CUST01034,Current,161171.21,Active,2020-08-24
ACC0001062,CUST01090,Savings,1108.31,Active,2019-01-19
ACC0001063,CUST01075,Savings,1554.71,Active,2019-01-31
ACC0001064,CUST01060,Recurring Deposit,2424.41,Active,2022-12-10
ACC0001065,CUST01057,Savings,7430.92,Active,2023-07-29
ACC0001066,CUST01095,Current,31605.69,Active,2023-01-20
ACC0001067,CUST01003,Current,18289.27,Active,2022-04-09
ACC0001068,CUST01065,Current,9983.35,Active,2021-10-09
ACC0001069,CUST01017,Fixed Deposit,24318.33,Active,2021-11-13
ACC0001070,CUST01031,Savings,2445.17,Inactive,2018-11-26
ACC0001071,CUST01089,Current,70368.16,Active,2020-10-04
ACC0001072,CUST01040,Fixed Deposit,28878.7,Active,2019-01-01
ACC0001073,CUST01047,Savings,8103.65,Active,2020-11-13
ACC0001074,CUST01081,Fixed Deposit,172971.58,Active,2021-12-27
ACC0001075,CUST01011,Savings,3720.57,Active,2021-12-19
ACC0001076,CUST01069,Savings,5098.93,Active,2019-10-16
ACC0001077,CUST01055,Recurring Deposit,2470.3,Active,2022-06-22
ACC0001078,CUST01075,Fixed Deposit,11751.3,Active,2019-03-05
ACC0001079,CUST01076,Savings,7707.9,Active,2021-07-14
ACC0001080,CUST01041,Current,24799.42,Active,2021-08-10
ACC0001081,CUST01046,Recurring Deposit,806.05,Active,2021-09-20
ACC0001082,CUST01068,Recurring Deposit,688.06,Active,2020-04-13
ACC0001083,CUST01069,Current,7368.73,Active,2019-12-10
ACC0001084,CUST01028,Recurring Deposit,1353.85,Inactive,2023-08-06
ACC0001085,CUST01085,Fixed Deposit,9177.84,Active,2020-01-13
ACC0001086,CUST01039,Recurring Deposit,1771.01,Active,2020-04-21
ACC0001087,CUST01033,Recurring Deposit,1057.62,Active,2020-04-19
ACC0001088,CUST01095,Savings,5431.02,Active,2022-11-24
ACC0001089,CUST01079,Fixed Deposit,20528.73,Active,2021-12-24
ACC0001090,CUST01080,Fixed Deposit,6118.71,Active,2023-06-11
ACC0001091,CUST01077,Savings,10154.93,Active,2019-06-28
ACC0001092,CUST01044,Savings,12295.35,Active,2018-08-28
ACC0001093,CUST01093,Fixed Deposit,23130.05,Active,2022-03-06
ACC0001094,CUST01029,Recurring Deposit,622.96,Active,2019-06-12
ACC0001095,CUST01005,Recurring Deposit,1790.06,Active,2022-03-23
ACC0001096,CUST01041,Savings,3840.2,Active,2021-06-10
ACC0001097,CUST01045,Recurring Deposit,1610.45,Active,2020-06-08
ACC0001098,CUST01070,Fixed Deposit,39946.29,Active,2021-09-12
ACC0001099,CUST01048,Recurring Deposit,423.06,Active,2023-02-11
ACC0001100,CUST01041,Current,4010.59,Active,2021-06-30
