card_number,customer_id,card_type,card_limit,outstanding_amount,status,issued_date,expiry_date
CARD00010001,CUST00907,Debit,0.0,0.0,Active,2022-02-25,2026-02-24
CARD00010002,CUST00550,Credit,50000.0,3335.1,Active,2021-12-02,2025-12-01
CARD00010003,CUST00769,Debit,0.0,0.0,Active,2019-05-27,2023-05-26
CARD00010004,CUST00274,Credit,5000.0,3298.69,Active,2022-06-06,2026-06-05
CARD00010005,CUST00788,Debit,0.0,0.0,Active,2019-08-07,2023-08-06
CARD00010006,CUST00657,Credit,10000.0,5967.42,Active,2021-03-21,2025-03-20
CARD00010007,CUST00349,Credit,5000.0,2307.48,Active,2023-06-21,2027-06-20
CARD00010008,CUST00115,Credit,5000.0,3213.53,Active,2018-12-27,2022-12-26
CARD00010009,CUST00301,Debit,0.0,0.0,Active,2022-01-05,2026-01-04
CARD00010010,CUST00446,Credit,50000.0,12933.24,Active,2019-04-01,2023-03-31
CARD00010011,CUST00162,Credit,20000.0,3412.31,Active,2018-08-15,2022-08-14
CARD00010012,CUST00465,Debit,0.0,0.0,Active,2022-08-28,2026-08-27
CARD00010013,CUST00004,Credit,20000.0,9247.16,Active,2022-04-07,2026-04-06
CARD00010014,CUST00977,Credit,20000.0,10158.57,Active,2019-12-24,2023-12-23
CARD00010015,CUST00740,Debit,0.0,0.0,Active,2021-11-21,2025-11-20
CARD00010016,CUST00897,Debit,0.0,0.0,Active,2023-09-02,2027-09-01
CARD00010017,CUST00737,Credit,50000.0,31242.08,Active,2019-12-21,2023-12-20
CARD00010018,CUST00270,Debit,0.0,0.0,Active,2021-11-04,2025-11-03
CARD00010019,CUST00996,Credit,5000.0,1598.94,Active,2021-11-26,2025-11-25
CARD00010020,CUST00513,Debit,0.0,0.0,Active,2023-08-04,2027-08-03
CARD00010021,CUST00781,Credit,10000.0,1066.26,Active,2018-10-16,2022-10-15
CARD00010022,CUST00183,Debit,0.0,0.0,Active,2021-07-19,2025-07-18
CARD00010023,CUST00520,Debit,0.0,0.0,Active,2021-11-03,2025-11-02
CARD00010024,CUST00935,Debit,0.0,0.0,Active,2023-08-10,2027-08-09
CARD00010025,CUST00109,Credit,5000.0,2668.93,Active,2023-08-14,2027-08-13
CARD00010026,CUST00892,Debit,0.0,0.0,Active,2022-04-23,2026-04-22
CARD00010027,CUST00641,Credit,15000.0,8458.52,Active,2023-07-02,2027-07-01
CARD00010028,CUST00306,Credit,50000.0,18673.44,Active,2022-05-13,2026-05-12
CARD00010029,CUST00862,Debit,0.0,0.0,Active,2022-10-30,2026-10-29
CARD00010030,CUST00655,Credit,10000.0,2432.44,Active,2018-06-23,2022-06-22
CARD00010031,CUST00520,Credit,5000.0,3114.99,Active,2020-11-05,2024-11-04
CARD00010032,CUST00624,Credit,10000.0,413.21,Active,2021-08-12,2025-08-11
CARD00010033,CUST00204,Debit,0.0,0.0,Blocked,2023-08-17,2027-08-16
CARD00010034,CUST00157,Credit,5000.0,162.0,Active,2022-06-17,2026-06-16
CARD00010035,CUST00383,Debit,0.0,0.0,Active,2018-11-02,2022-11-01
CARD00010036,CUST00781,Credit,50000.0,5210.87,Active,2022-02-17,2026-02-16
CARD00010037,CUST00166,Debit,0.0,0.0,Active,2020-10-16,2024-10-15
CARD00010038,CUST00553,Credit,5000.0,752.73,Active,2018-11-08,2022-11-07
CARD00010039,CUST00977,Debit,0.0,0.0,Active,2018-11-22,2022-11-21
CARD00010040,CUST00798,Debit,0.0,0.0,Active,2022-09-27,2026-09-26
CARD00010041,CUST00945,Debit,0.0,0.0,Active,2020-08-03,2024-08-02
CARD00010042,CUST00544,Debit,0.0,0.0,Active,2022-01-28,2026-01-27
CARD00010043,CUST00941,Credit,10000.0,4964.22,Active,2020-04-30,2024-04-29
CARD00010044,CUST00001,Credit,50000.0,28110.45,Active,2020-08-15,2024-08-14
CARD00010045,CUST00614,Debit,0.0,0.0,Active,2018-12-06,2022-12-05
CARD00010046,CUST00332,Credit,50000.0,30310.51,Active,2021-05-27,2025-05-26
CARD00010047,CUST00501,Debit,0.0,0.0,Active,2022-01-20,2026-01-19
CARD00010048,CUST00020,Credit,50000.0,11070.86,Active,2020-10-14,2024-10-13
CARD00010049,CUST00115,Debit,0.0,0.0,Active,2022-09-09,2026-09-08
CARD00010050,CUST00952,Credit,15000.0,520.98,Active,2022-02-11,2026-02-10
CARD00010051,CUST00372,Credit,50000.0,6996.59,Blocked,2021-10-09,2025-10-08
